epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2907,1.61874,3.26373,1.64639,0.00433,0.65,0.0933,0.05449,1.61519,3.69307,1.57082,8e-05,8e-05,8e-05
2,114.991,1.56353,2.93359,1.61798,0.00533,0.8,0.14999,0.08015,1.62109,3.55535,1.50506,0.00014436,0.00014436,0.00014436
3,161.591,1.60748,2.71369,1.60889,0.0055,0.825,0.19644,0.11589,1.58884,3.46657,1.51244,0.00016912,0.00016912,0.00016912
4,212.675,1.52807,2.43673,1.54321,0.00567,0.85,0.232,0.14109,1.52263,3.40212,1.46468,0.00015428,0.00015428,0.00015428
5,265.525,1.41467,2.2315,1.49227,0.00567,0.85,0.27937,0.17161,1.42001,3.28275,1.42281,9.984e-05,9.984e-05,9.984e-05
