epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.802,1.72745,2.88529,1.66575,0.38819,0.03042,0.13872,0.0476,1.88678,3.29658,1.87519,0.000655556,0.000655556,0.000655556
2,545.605,1.80837,2.62626,1.76356,0.0319,0.34601,0.02171,0.00819,2.25532,9.91228,2.18189,0.00129604,0.00129604,0.00129604
3,823.455,1.85987,2.56191,1.79993,0.19291,0.24715,0.10184,0.04562,2.1755,3.21826,2.2931,0.00191013,0.00191013,0.00191013
4,1180.19,1.8912,2.4772,1.84715,0.27124,0.30798,0.19524,0.08212,2.13635,4.48643,2.26633,0.0018812,0.0018812,0.0018812
