epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.238,1.76106,2.99182,1.72225,0.00533,0.79602,0.1291,0.05481,1.78926,3.51454,1.65237,0.00048,0.00048,0.00048
2,665.941,1.6234,2.40751,1.61986,0.67638,0.02488,0.11814,0.0507,2.07714,3.56614,2.03773,0.00094766,0.00094766,0.00094766
3,969.359,1.7235,2.34831,1.6725,0.09465,0.1194,0.03918,0.01174,2.21726,6.40516,2.68368,0.00138232,0.00138232,0.00138232
