epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.921,1.71755,2.57996,1.4972,0.51316,0.22404,0.25906,0.12584,1.76228,2.54906,1.50782,0.000658333,0.000658333,0.000658333
2,400.105,1.76168,2.16096,1.53131,0.3425,0.29508,0.22501,0.086,2.16081,2.39984,1.84575,0.00128128,0.00128128,0.00128128
3,582.081,1.84599,2.17582,1.6051,0.237,0.30601,0.17922,0.07816,1.9421,2.62114,1.75007,0.00186022,0.00186022,0.00186022
4,732.421,1.8712,2.18101,1.62759,0.43124,0.36875,0.33979,0.15952,2.00892,2.27009,1.6758,0.001802,0.001802,0.001802
5,879.736,1.85223,2.07163,1.58957,0.30903,0.30055,0.26986,0.11943,1.93833,2.33177,1.64788,0.001736,0.001736,0.001736
6,1020.17,1.88493,2.10771,1.62496,0.57446,0.31694,0.35559,0.1769,1.85362,2.24473,1.65899,0.00167,0.00167,0.00167
