epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.798,1.76106,2.99182,1.72225,0.00533,0.79602,0.1291,0.05481,1.78926,3.51454,1.65237,0.00048,0.00048,0.00048
2,490.255,1.6234,2.40751,1.61986,0.67638,0.02488,0.11814,0.0507,2.07714,3.56614,2.03773,0.00094766,0.00094766,0.00094766
3,768.826,1.7235,2.34831,1.6725,0.09465,0.1194,0.03918,0.01174,2.21726,6.40516,2.68368,0.00138232,0.00138232,0.00138232
4,1022.51,1.76271,2.26909,1.69031,0.01282,0.31814,0.0092,0.00363,2.22598,30.057,2.42362,0.00178398,0.00178398,0.00178398
5,1271.3,1.70005,2.25759,1.69993,0.00732,0.29851,0.00481,0.0019,2.50861,32.436,2.87449,0.001736,0.001736,0.001736
6,1540.13,1.74652,2.20542,1.71134,0.20019,0.24876,0.11334,0.04327,2.26638,8.41133,2.39829,0.00167,0.00167,0.00167
